"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population"
"931",1994,"SC",NA,"South Carolina",50,2007,0,-13,3666.456
"932",1994,"SD",7007,"South Dakota",NA,NA,NA,NA,723.038
"933",1994,"TN",951,"Tennessee",33.34,2024,0,-30,5163.016
"934",1994,"TX",919299,"Texas",NA,NA,NA,NA,18338.319
"935",1994,"UT",18872,"Utah",33.34,2011,0,-17,1930.436
"936",1994,"VA",1678,"Virginia",33.34,NA,NA,NA,6536.771
"937",1994,"VT",NA,"Vermont",33.34,2023,0,-29,578.9
"938",1994,"WA",84031,"Washington",NA,NA,NA,NA,5334.896
"939",1994,"WI",1881,"Wisconsin",50,2006,0,-12,5095.504
"940",1994,"WV",152945,"West Virginia",50,2022,0,-28,1818.49
"941",1994,"WY",298869,"Wyoming",NA,NA,NA,NA,474.982
"942",1995,"AK",1159882,"Alaska",33.34,NA,NA,NA,601.345
"943",1995,"AL",63326,"Alabama",33.34,2021,0,-26,4262.731
"944",1995,"AR",12865,"Arkansas",50,2021,0,-26,2480.121
"945",1995,"AZ",0,"Arizona",50,2007,0,-12,4306.908
"946",1995,"CA",42242,"California",50,2011,0,-16,31493.525
"947",1995,"CO",24648,"Colorado",33.34,2009,0,-14,3738.061
"948",1995,"CT",NA,"Connecticut",50,2016,0,-21,3265.293
"949",1995,"DE",NA,"Delaware",33.34,2017,0,-22,718.265
"950",1995,"FL",72941,"Florida",50,NA,NA,NA,14185.403
"951",1995,"GA",NA,"Georgia",50,2006,0,-11,7188.538
"952",1995,"HI",NA,"Hawaii",33.34,NA,NA,NA,1180.49
"953",1995,"IA",NA,"Iowa",100,1978,1,17,2840.86
"954",1995,"ID",2538,"Idaho",50,2022,0,-27,1165
"955",1995,"IL",0,"Illinois",50,1999,0,-4,11884.935
"956",1995,"IN",640,"Indiana",33.34,2007,0,-12,5791.819
"957",1995,"KS",82464,"Kansas",33.34,NA,NA,NA,2586.942
"958",1995,"KY",196686,"Kentucky",50,2018,0,-23,3855.248
"959",1995,"LA",382527,"Louisiana",33.34,2016,0,-21,4327.978
"960",1995,"MA",NA,"Massachusetts",50,2025,0,-30,6062.335
"961",1995,"MD",NA,"Maryland",50,2018,0,-23,5023.65
"962",1995,"ME",NA,"Maine",50,2007,0,-12,1237.438
"963",1995,"MI",27198,"Michigan",50,1991,1,4,9659.871
"964",1995,"MN",2457,"Minnesota",70,2007,0,-12,4605.445
"965",1995,"MO",21,"Missouri",33.34,2020,0,-25,5324.61
"966",1995,"MS",28656,"Mississippi",33.34,NA,NA,NA,2690.788
"967",1995,"MT",83241,"Montana",33.34,2025,0,-30,868.522
"968",1995,"NC",1919,"North Carolina",50,2016,0,-21,7185.403
"969",1995,"ND",113425,"North Dakota",33.34,2016,0,-21,641.548
"970",1995,"NE",1573,"Nebraska",100,1988,1,7,1635.142
"971",1995,"NH",1,"New Hampshire",50,2022,0,-27,1145.604
"972",1995,"NJ",NA,"New Jersey",33.34,2012,0,-17,7965.523
"973",1995,"NM",294297,"New Mexico",33.34,NA,NA,NA,1682.417
"974",1995,"NV",46990,"Nevada",NA,NA,NA,NA,1525.777
"975",1995,"NY",NA,"New York",50,2015,0,-20,18150.928
"976",1995,"OH",9135,"Ohio",50,NA,NA,NA,11155.493
"977",1995,"OK",309553,"Oklahoma",33.34,NA,NA,NA,3265.547
"978",1995,"OR",77847,"Oregon",50,2004,0,-9,3141.421
"979",1995,"PA",NA,"Pennsylvania",50,2007,0,-12,12044.78
"980",1995,"RI",NA,"Rhode Island",33.34,2015,0,-20,989.203
"981",1995,"SC",NA,"South Carolina",50,2007,0,-12,3699.943
"982",1995,"SD",6205,"South Dakota",NA,NA,NA,NA,728.251
"983",1995,"TN",903,"Tennessee",33.34,2024,0,-29,5241.168
"984",1995,"TX",890093,"Texas",NA,NA,NA,NA,18679.706
"985",1995,"UT",21404,"Utah",33.34,2011,0,-16,1976.774
"986",1995,"VA",1800,"Virginia",33.34,NA,NA,NA,6601.392
"987",1995,"VT",NA,"Vermont",33.34,2023,0,-28,582.827
"988",1995,"WA",97776,"Washington",NA,NA,NA,NA,5431.024
"989",1995,"WI",2255,"Wisconsin",50,2006,0,-11,5137.004
"990",1995,"WV",176756,"West Virginia",50,2022,0,-27,1820.56
"991",1995,"WY",233365,"Wyoming",NA,NA,NA,NA,478.447
"992",1996,"AK",956961,"Alaska",33.34,NA,NA,NA,604.918
"993",1996,"AL",78557,"Alabama",33.34,2021,0,-25,4290.403
"994",1996,"AR",13396,"Arkansas",50,2021,0,-25,2504.858
"995",1996,"AZ",0,"Arizona",50,2007,0,-11,4432.308
"996",1996,"CA",38184,"California",50,2011,0,-15,31780.829
"997",1996,"CO",14839,"Colorado",33.34,2009,0,-13,3812.716
"998",1996,"CT",NA,"Connecticut",50,2016,0,-20,3267.03
"999",1996,"DE",NA,"Delaware",33.34,2017,0,-21,727.09
"1000",1996,"FL",65432,"Florida",50,NA,NA,NA,14426.911
"1001",1996,"GA",NA,"Georgia",50,2006,0,-10,7332.225
"1002",1996,"HI",NA,"Hawaii",33.34,NA,NA,NA,1184.434
"1003",1996,"IA",NA,"Iowa",100,1978,1,18,2848.473
"1004",1996,"ID",2978,"Idaho",50,2022,0,-26,1187.706
"1005",1996,"IL",0,"Illinois",50,1999,0,-3,11953.003
"1006",1996,"IN",574,"Indiana",50,2007,0,-11,5834.908
"1007",1996,"KS",73571,"Kansas",33.34,NA,NA,NA,2598.266
"1008",1996,"KY",186125,"Kentucky",50,2018,0,-22,3881.051
"1009",1996,"LA",362728,"Louisiana",33.34,2016,0,-20,4338.763
"1010",1996,"MA",NA,"Massachusetts",50,2025,0,-29,6085.393
