"State","Year","Revenue"
"KS","1974",76766
"KS","1975",85887
"KS","1976",92848
"KS","1977",122712
"KS","1978",128513
"KS","1979",141115
"KS","1980",149517
"KS","1981",150421
"KS","1982",122549
"KS","1983",141347
"KS","1984",136665
"KS","1985",159670
"KS","1986",156344
"KS","1987",137061
"KS","1988",195520
"KS","1989",198305
"KS","1990",210462
"KS","1991",212950
"KS","1992",198998
"KS","1993",219074
"KS","1994",254892
"KS","1995",261408
"KS","1996",254873
"KS","1997",291080
"KS","1998",305914
"KS","1999",253840
"KS","2000",272432
"KS","2001",236723
"KS","2002",121931
"KS","2003",124519
"KS","2004",166609
"KS","2005",248085
"KS","2006",381259
"KS","2007",527427
"KS","2008",528011
"KS","2009",370889
"KS","2010",352419
"KS","2011",246518
"KS","2012",317578
"KS","2013",384553
"KS","2014",330181
"KS","2015",458306
"KS","2016",391877
"KS","2017",386966
"KS","2018",437967
"KS","2019",486421
"KS","2020",433931
"KS","2021",727435
"KY","1950",8305
"KY","1951",9400
"KY","1952",10853
"KY","1953",9765
"KY","1954",8343
"KY","1955",10591
"KY","1956",11855
"KY","1957",17470
"KY","1958",17584
"KY","1959",16690
"KY","1960",20240
"KY","1961",22612
"KY","1962",20969
"KY","1963",21710
"KY","1964",23255
"KY","1965",29214
"KY","1966",36253
"KY","1967",40450
"KY","1968",36375
"KY","1969",39375
"KY","1970",39459
"KY","1971",40093
"KY","1972",53903
"KY","1973",69338
"KY","1974",83364
"KY","1975",116626
"KY","1976",134785
"KY","1977",131254
"KY","1978",138597
"KY","1979",163368
"KY","1980",158846
"KY","1981",154786
"KY","1982",166815
"KY","1983",172120
"KY","1984",198261
"KY","1985",211284
"KY","1986",233524
"KY","1987",267378
"KY","1988",255760
"KY","1989",310803
"KY","1990",279483
"KY","1991",319351
"KY","1992",271027
"KY","1993",254775
"KY","1994",269067
"KY","1995",340912
"KY","1996",284733
"KY","1997",292753
"KY","1998",333666
"KY","1999",312067
"KY","2000",306450
"KY","2001",361390
"KY","2002",302129
"KY","2003",369572
"KY","2004",381538
"KY","2005",478505
"KY","2006",1001619
"KY","2007",988065
"KY","2008",533630
"KY","2009",389634
"KY","2010",383815
"KY","2011",516523
"KY","2012",575164
"KY","2013",646875
"KY","2014",674464
"KY","2015",751910
"KY","2016",606840
"KY","2017",458650
"KY","2018",749500
"KY","2019",762700
"KY","2020",639200
"KY","2021",926075
"LA","1950",0
"LA","1951",0
"LA","1952",0
"LA","1953",0
"LA","1954",0
"LA","1955",0
"LA","1956",0
"LA","1957",0
"LA","1958",17201
"LA","1959",18203
"LA","1960",18331
"LA","1961",17325
"LA","1962",23316
"LA","1963",17516
"LA","1964",22144
"LA","1965",27356
"LA","1966",31766
"LA","1967",34446
"LA","1968",34305
"LA","1969",34580
"LA","1970",34770
"LA","1971",51299
"LA","1972",79523
"LA","1973",78781
"LA","1974",67603
"LA","1975",78718
"LA","1976",87741
"LA","1977",95248
"LA","1978",186956
"LA","1979",214083
"LA","1980",249338
"LA","1981",266611
"LA","1982",291953
"LA","1983",321372
"LA","1984",262100
"LA","1985",293598
"LA","1986",263815
"LA","1987",191189
"LA","1988",219894
"LA","1989",344584
"LA","1990",393978
"LA","1991",326659
"LA","1992",232061
"LA","1993",245273
"LA","1994",219190
"LA","1995",283076
"LA","1996",327543
"LA","1997",380155
"LA","1998",359510
"LA","1999",286323
"LA","2000",222008
"LA","2001",293056
"LA","2002",264419
"LA","2003",198716
"LA","2004",236745
"LA","2005",352136
"LA","2006",506174
"LA","2007",752773
"LA","2008",703196
"LA","2009",612545
"LA","2010",393036
"LA","2011",196732
"LA","2012",290389
"LA","2013",252430
"LA","2014",481212
"LA","2015",253650
"LA","2016",171579
"LA","2017",291321
"LA","2018",358208
"LA","2019",495388
"LA","2020",450449
"LA","2021",587747
"MA","1950",19450
"MA","1951",26309
"MA","1952",29114
"MA","1953",24653
"MA","1954",26066
"MA","1955",22344
"MA","1956",24723
"MA","1957",30449
"MA","1958",29619
"MA","1959",29558
"MA","1960",28539
"MA","1961",34756
"MA","1962",33048
"MA","1963",35882
"MA","1964",41820
"MA","1965",49162
"MA","1966",49830
"MA","1967",56070
"MA","1968",167058
"MA","1969",185068
"MA","1970",218279
"MA","1971",203066
"MA","1972",239624
"MA","1973",259401
"MA","1974",283634
"MA","1975",268521
"MA","1976",325122
"MA","1977",397237
"MA","1978",404777
"MA","1979",483281
"MA","1980",532383
"MA","1981",536069
"MA","1982",598283
"MA","1983",660654
"MA","1984",729634
"MA","1985",851283
"MA","1986",1080049
"MA","1987",1113164
"MA","1988",1068341
"MA","1989",1189321
"MA","1990",871195
"MA","1991",719569
"MA","1992",756781
"MA","1993",959332
"MA","1994",1062930
"MA","1995",1205667
"MA","1996",1227861
